Classification,Year,Period,Period Desc.,Aggregate Level,Is Leaf Code,Trade Flow Code,Trade Flow,Reporter Code,Reporter,Reporter ISO,Partner Code,Partner,Partner ISO,2nd Partner Code,2nd Partner,2nd Partner ISO,Customs Proc. Code,Customs,Mode of Transport Code,Mode of Transport,Commodity Code,Commodity,Qty Unit Code,Qty Unit,Qty,Alt Qty Unit Code,Alt Qty Unit,Alt Qty,Netweight (kg),Gross weight (kg),Trade Value (US$),CIF Trade Value (US$),FOB Trade Value (US$),Flag
H4,2013,2013,2013,6,1,2,Export,360,Indonesia,IDN,458,Malaysia,MYS,,,,,,,,240110,"Tobacco, (not stemmed or stripped)",8,Weight in kilograms,293760,,,,293760,,2306005,,,0
H4,2013,2013,2013,6,1,2,Export,360,Indonesia,IDN,643,Russian Federation,RUS,,,,,,,,240110,"Tobacco, (not stemmed or stripped)",8,Weight in kilograms,179104,,,,179104,,209894,,,0
H4,2013,2013,2013,6,1,1,Import,360,Indonesia,IDN,842,USA,USA,,,,,,,,240110,"Tobacco, (not stemmed or stripped)",8,Weight in kilograms,1312091,,,,1312091,,11037457,,,0
H4,2013,2013,2013,6,1,2,Export,360,Indonesia,IDN,842,USA,USA,,,,,,,,240110,"Tobacco, (not stemmed or stripped)",8,Weight in kilograms,3323508,,,,3323508,,9249888,,,0
H4,2014,2014,2014,6,1,1,Import,360,Indonesia,IDN,156,China,CHN,,,,,,,,240110,"Tobacco, (not stemmed or stripped)",8,Weight in kilograms,15256339,,,,15256339,,77079276,,,0
H4,2014,2014,2014,6,1,2,Export,360,Indonesia,IDN,156,China,CHN,,,,,,,,240110,"Tobacco, (not stemmed or stripped)",8,Weight in kilograms,385316,,,,385316,,8509380,,,0
H4,2014,2014,2014,6,1,2,Export,360,Indonesia,IDN,458,Malaysia,MYS,,,,,,,,240110,"Tobacco, (not stemmed or stripped)",8,Weight in kilograms,357880,,,,357880,,2331214,,,0
H4,2014,2014,2014,6,1,1,Import,360,Indonesia,IDN,643,Russian Federation,RUS,,,,,,,,240110,"Tobacco, (not stemmed or stripped)",8,Weight in kilograms,32774,,,,32774,,53567,,,0
H4,2014,2014,2014,6,1,2,Export,360,Indonesia,IDN,643,Russian Federation,RUS,,,,,,,,240110,"Tobacco, (not stemmed or stripped)",8,Weight in kilograms,138315,,,,138315,,156315,,,0
H4,2014,2014,2014,6,1,1,Import,360,Indonesia,IDN,842,USA,USA,,,,,,,,240110,"Tobacco, (not stemmed or stripped)",8,Weight in kilograms,301059,,,,301059,,2701631,,,0
H4,2014,2014,2014,6,1,2,Export,360,Indonesia,IDN,842,USA,USA,,,,,,,,240110,"Tobacco, (not stemmed or stripped)",8,Weight in kilograms,2440736,,,,2440736,,6067260,,,0
H4,2015,2015,2015,6,1,1,Import,360,Indonesia,IDN,156,China,CHN,,,,,,,,240110,"Tobacco, (not stemmed or stripped)",8,Weight in kilograms,4405541,,,,4405541,,25885862,,,0
H4,2015,2015,2015,6,1,2,Export,360,Indonesia,IDN,156,China,CHN,,,,,,,,240110,"Tobacco, (not stemmed or stripped)",8,Weight in kilograms,57119,,,,57119,,850294,,,0
H4,2015,2015,2015,6,1,2,Export,360,Indonesia,IDN,458,Malaysia,MYS,,,,,,,,240110,"Tobacco, (not stemmed or stripped)",8,Weight in kilograms,358780,,,,358780,,2188377,,,0
H4,2015,2015,2015,6,1,1,Import,360,Indonesia,IDN,643,Russian Federation,RUS,,,,,,,,240110,"Tobacco, (not stemmed or stripped)",8,Weight in kilograms,16337,,,,16337,,26433,,,0
H4,2015,2015,2015,6,1,2,Export,360,Indonesia,IDN,643,Russian Federation,RUS,,,,,,,,240110,"Tobacco, (not stemmed or stripped)",8,Weight in kilograms,100000,,,,100000,,115000,,,0
H4,2015,2015,2015,6,1,1,Import,360,Indonesia,IDN,842,USA,USA,,,,,,,,240110,"Tobacco, (not stemmed or stripped)",8,Weight in kilograms,138633,,,,138633,,1055991,,,0
H4,2015,2015,2015,6,1,2,Export,360,Indonesia,IDN,842,USA,USA,,,,,,,,240110,"Tobacco, (not stemmed or stripped)",8,Weight in kilograms,2947844,,,,2947844,,6149071,,,0
H4,2016,2016,2016,6,1,1,Import,360,Indonesia,IDN,156,China,CHN,,,,,,,,240110,"Tobacco, (not stemmed or stripped)",8,Weight in kilograms,4431333,,,,4431333,,24994322,,,0
H4,2016,2016,2016,6,1,2,Export,360,Indonesia,IDN,156,China,CHN,,,,,,,,240110,"Tobacco, (not stemmed or stripped)",8,Weight in kilograms,60300,,,,60300,,664348,,,0
H4,2016,2016,2016,6,1,1,Import,360,Indonesia,IDN,458,Malaysia,MYS,,,,,,,,240110,"Tobacco, (not stemmed or stripped)",8,Weight in kilograms,31,,,,31,,255,,,0
H4,2016,2016,2016,6,1,2,Export,360,Indonesia,IDN,458,Malaysia,MYS,,,,,,,,240110,"Tobacco, (not stemmed or stripped)",8,Weight in kilograms,25650,,,,25650,,73597,,,0
H4,2016,2016,2016,6,1,2,Export,360,Indonesia,IDN,643,Russian Federation,RUS,,,,,,,,240110,"Tobacco, (not stemmed or stripped)",8,Weight in kilograms,148032,,,,148032,,153422,,,0
H4,2016,2016,2016,6,1,1,Import,360,Indonesia,IDN,842,USA,USA,,,,,,,,240110,"Tobacco, (not stemmed or stripped)",8,Weight in kilograms,121152,,,,121152,,863219,,,0
H4,2016,2016,2016,6,1,2,Export,360,Indonesia,IDN,842,USA,USA,,,,,,,,240110,"Tobacco, (not stemmed or stripped)",8,Weight in kilograms,3115323,,,,3115323,,5808727,,,0
H3,2010,2010,2010,6,1,1,Import,360,Indonesia,IDN,156,China,CHN,,,,,,,,240110,"Tobacco, not stemmed/stripped",8,Weight in kilograms,5140869,,,,5140869,,23514605,,,0
